days_since_start,date,subjectivity,sentiment_score,relevance_score,Open,High,Low,Close,Adj Close,Volume
0,2022-01-03,0.13153679653679654,0.0761038961038961,0.002,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683597,179.72454833984375,104487900
1,2022-01-04,0.2493555686737505,0.1307998819362456,0.002045454545454545,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,177.44357299804688,99310400
2,2022-01-05,0.31666666666666665,0.19444444444444445,0.0026666666666666666,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,172.7235870361328,94537600
3,2022-01-06,0.19999999999999998,0.23333333333333336,0.0045,172.6999969482422,175.3000030517578,171.63999938964844,172.0,169.8402557373047,96904000
4,2022-01-07,0.2863636363636364,0.19090909090909092,0.0014,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,170.00811767578125,86709100
7,2022-01-10,0.2544871794871795,0.2403846153846154,0.0033076923076923075,169.0800018310547,172.5,168.1699981689453,172.19000244140625,170.0278778076172,106765600
8,2022-01-11,0.044444444444444446,0.011111111111111112,0.0007777777777777778,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,172.881591796875,76138300
9,2022-01-12,0.28802083333333334,-0.12274305555555555,0.000875,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,173.325927734375,74805200
10,2022-01-13,0.0,0.0,0.001,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,170.0278778076172,84505800
11,2022-01-14,0.13656462585034015,-0.07244897959183673,0.0,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,170.89682006835938,80440800
15,2022-01-18,0.2097718253968254,0.06321924603174603,0.005125,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,167.66787719726562,90956700
16,2022-01-19,0.10724288337924702,0.054407713498622584,0.004727272727272727,170.0,171.0800018310547,165.94000244140625,166.22999572753906,164.14268493652344,94815000
17,2022-01-20,0.24444444444444446,-0.1,0.003333333333333333,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,162.44427490234375,91420500
18,2022-01-21,0.25696969696969696,0.28909090909090907,0.0048000000000000004,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,160.3706817626953,122848900
21,2022-01-24,0.07500000000000001,0.05277777777777778,0.0030000000000000005,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,159.590576171875,162294600
22,2022-01-25,0.15606060606060607,0.07626262626262627,0.0026666666666666666,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,157.77369689941406,115798400
23,2022-01-26,0.2111111111111111,0.09166666666666667,0.0,163.5,164.38999938964844,157.82000732421875,159.69000244140625,157.68479919433594,108275300
24,2022-01-27,0.29009324009324006,0.07459207459207459,0.0018461538461538461,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,157.2207489013672,121954600
25,2022-01-28,0.1812878787878788,0.05696969696969697,0.0059,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,168.1912384033203,179935700
28,2022-01-31,0.38020833333333337,0.10520833333333333,0.00175,170.16000366210938,175.0,169.50999450683594,174.77999877929688,172.5853271484375,115541600
29,2022-02-01,0.0,0.0,0.0,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,172.41748046875,86213900
30,2022-02-02,0.25826446280991733,0.1009641873278237,0.004909090909090909,174.75,175.8800048828125,173.3300018310547,175.83999633789062,173.63204956054688,84914300
31,2022-02-03,0.016049382716049384,-0.0018518518518518515,0.0035555555555555557,174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,170.72894287109375,89418100
32,2022-02-04,0.13196969696969696,-0.009242424242424245,0.0020666666666666667,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,170.44224548339844,82465400
35,2022-02-07,0.3333333333333333,0.19285714285714287,0.003428571428571429,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,169.7205047607422,77251200
36,2022-02-08,0.3181818181818182,0.21212121212121213,0.005,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,172.8546905517578,74829200
37,2022-02-09,0.37519640852974184,0.3058922558922559,0.0026666666666666666,176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,174.28829956054688,71285000
38,2022-02-10,0.1709090909090909,-0.052727272727272734,0.0028,174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,170.17529296875,90865900
39,2022-02-11,0.21856060606060607,0.052651515151515144,0.00675,172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,166.73460388183594,98670700
42,2022-02-14,0.24452690166975882,0.14499072356215215,0.0,167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,166.97189331054688,86185500
43,2022-02-15,0.17575757575757578,0.10606060606060606,0.0023333333333333335,170.97000122070312,172.9499969482422,170.25,172.7899932861328,170.8376922607422,62527400
44,2022-02-16,0.25595238095238093,0.047619047619047616,0.0,171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,170.6004180908203,61177400
45,2022-02-17,0.1798076923076923,0.1326923076923077,0.004076923076923077,171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,166.97189331054688,69589300
46,2022-02-18,0.31287878787878787,0.08409090909090909,0.003272727272727273,169.82000732421875,170.5399932861328,166.19000244140625,167.3000030517578,165.40972900390625,82772700
50,2022-02-22,0.16458333333333333,0.07708333333333332,0.004,164.97999572753906,166.69000244140625,162.14999389648438,164.32000732421875,162.4634246826172,91162800
51,2022-02-23,0.15555555555555556,0.1111111111111111,0.002111111111111111,165.5399932861328,166.14999389648438,159.75,160.07000732421875,158.26144409179688,90009200
52,2022-02-24,0.19733044733044733,-0.0284992784992785,0.0,152.5800018310547,162.85000610351562,152.0,162.74000549316406,160.90126037597656,141147500
53,2022-02-25,0.30310760667903525,0.05819418676561534,0.002428571428571429,163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,162.9874267578125,91974200
56,2022-02-28,0.09027777777777778,0.023611111111111114,0.004533333333333334,163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,163.25437927246094,95056600
57,2022-03-01,0.29213786213786214,0.016965534465534463,0.0005384615384615384,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,161.35606384277344,83474400
58,2022-03-02,0.207,0.13266666666666665,0.0018,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,164.6781005859375,79724800
59,2022-03-03,0.12184085755514328,0.09027391259534118,0.0010476190476190477,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,164.35182189941406,76678400
60,2022-03-04,0.3796258034894398,0.13115625956535049,0.004545454545454546,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,161.32640075683594,83737200
63,2022-03-07,0.3043939393939394,0.14431818181818182,0.0049,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,157.5001220703125,96418800
64,2022-03-08,0.37424242424242427,0.046602746212121224,0.0036249999999999998,158.82000732421875,162.8800048828125,155.8000030517578,157.44000244140625,155.66116333007812,131148300
65,2022-03-09,0.28698347107438016,0.13298898071625345,0.006727272727272727,161.47999572753906,163.41000366210938,159.41000366210938,162.9499969482422,161.10888671875,91454900
66,2022-03-10,0.3496212121212121,0.04780303030303032,0.0028,160.1999969482422,160.38999938964844,155.97999572753906,158.52000427246094,156.72894287109375,105342000
67,2022-03-11,0.30828282828282827,0.09065656565656566,0.0009333333333333333,158.92999267578125,159.27999877929688,154.5,154.72999572753906,152.9817657470703,96970100
70,2022-03-14,0.3347513597513597,0.22544677544677544,0.009153846153846155,151.4499969482422,154.1199951171875,150.10000610351562,150.6199951171875,148.91818237304688,108732100
71,2022-03-15,0.2716161616161616,0.07181818181818182,0.003888888888888889,150.89999389648438,155.57000732421875,150.3800048828125,155.08999633789062,153.33770751953125,92964300
72,2022-03-16,0.1456876456876457,0.0937062937062937,0.0037692307692307695,157.0500030517578,160.0,154.4600067138672,159.58999633789062,157.78684997558594,102300200
